,Park Name,Street Address,City,State,ZIP,Phone Number,Website,Total Lots,Rent Range,Pet Policy,Amenities,Latitude,Longitude,Source Website URL,Listing Price
16,Little Rock Metro MH/Land Portfolio,N/A,Little Rock,AR,N/A,(217)202-0924,https://www.mobilehomeparkstore.com,101,722,N/A,N/A,N/A,N/A,https://www.mobilehomeparkstore.com//mobile-home-parks/6927669-little-rock-metro-mh-land-portfolio-for-sale-in-little-rock-ar,8400000
17,NorCal MHC Portfolio ,N/A,Yuba City,CA,N/A,(209)444-6651,https://www.mobilehomeparkstore.com,145,551,N/A,N/A,N/A,N/A,https://www.mobilehomeparkstore.com//mobile-home-parks/6940123-norcal-mhc-portfolio-for-sale-in-yuba-city-ca,
18,Mobile Home Parks for Sale,N/A,Yuba City,CA,N/A,(951)500-6140,https://www.mobilehomeparkstore.com,124,N/A,N/A,Pool,N/A,N/A,https://www.mobilehomeparkstore.com//mobile-home-parks/6924372-trona-trailer-park-for-sale-in-california,699000
19,"Accepting offers until May 30, 2025",N/A,Redding,CA,N/A,(801)721-6819,https://www.mobilehomeparkstore.com,N/A,N/A,N/A,N/A,N/A,N/A,https://www.mobilehomeparkstore.com//mobile-home-parks/6897267-accepting-offers-until-may-30-2025-for-sale-in-redding-ca,
20,Investor Alert – MHP Project  & Passive Income,401 Sterling Road,Pearsonville,CA,93527,(424)262-0392,https://www.mobilehomeparkstore.com,N/A,N/A,N/A,N/A,N/A,N/A,https://www.mobilehomeparkstore.com//mobile-home-parks/6896209-investor-alert-mhp-project-passive-income-for-sale-in-pearsonville-ca,249000
21,Riverside Crossing Mobile Home Park,24660 Tehama Vina Road,Los Molinos,CA,96055,(561)479-1588,https://www.mobilehomeparkstore.com,69,N/A,N/A,N/A,N/A,N/A,https://www.mobilehomeparkstore.com//mobile-home-parks/6838809-riverside-crossing-mobile-home-park-for-sale-in-los-molinos-ca,2750000
22,MORONGO MOBILE MANOR,49609 Paradise Avenue,Morongo Valley,CA,92256,(626)383-0951,https://www.mobilehomeparkstore.com,21,528,N/A,N/A,N/A,N/A,https://www.mobilehomeparkstore.com//mobile-home-parks/6835207-morongo-mobile-manor-for-sale-in-morongo-valley-ca,1300000
23,Hidden Creek Retreat Park,14721 Pioneer Volcano Road,Pine Grove,CA,95665,(209)418-8630,https://www.mobilehomeparkstore.com,N/A,N/A,N/A,N/A,N/A,N/A,https://www.mobilehomeparkstore.com//mobile-home-parks/6827884-hidden-creek-retreat-park-for-sale-in-pine-grove-ca,599000
24,"Clearlake 3 Lot Portfolio, $230K!!!!",15811 44th Avenue,Clearlake,CA,95422,(510)915-0092,https://www.mobilehomeparkstore.com,N/A,N/A,N/A,N/A,N/A,N/A,https://www.mobilehomeparkstore.com//mobile-home-parks/1877933-clearlake-3-lot-portfolio-230k-for-sale-in-clearlake-ca,230000
25,"Oak Shadows Land Development, San Andreas",Buckskin Way,San Andreas,CA,95249,(510)915-0092,https://www.mobilehomeparkstore.com,80,N/A,N/A,N/A,N/A,N/A,https://www.mobilehomeparkstore.com//mobile-home-parks/1296875-oak-shadows-land-development-san-andreas-for-sale-in-san-andreas-ca,635000
26,Pine Grove Mobile Home Park,N/A,Mcarthur,CA,N/A,(510)260-7349,https://www.mobilehomeparkstore.com,12,400,N/A,"Laundromat
Storage",N/A,N/A,https://www.mobilehomeparkstore.com//mobile-home-parks/6930708-pine-grove-mobile-home-park-for-sale-in-mcarthur-ca,699000
27,Madrone Mobile Home Park,2510 U.S. 199,Crescent City,CA,95531,(831)373-3013,https://www.mobilehomeparkstore.com,N/A,N/A,N/A,N/A,N/A,N/A,https://www.mobilehomeparkstore.com//mobile-home-parks/3802525-madrone-mobile-home-park-for-sale-in-crescent-city-ca,4200000
28,Mobile Home Park,3223 South Santa Fe Drive,Englewood,CO,80110,(303)407-9784,https://www.mobilehomeparkstore.com,N/A,N/A,N/A,N/A,N/A,N/A,https://www.mobilehomeparkstore.com//mobile-home-parks/6955288-mobile-home-park-for-sale-in-englewood-co,1750000
29,Mobile Home Park,3070 South Lipan Street,Englewood,CO,80110,(303)407-9784,https://www.mobilehomeparkstore.com,N/A,N/A,N/A,N/A,N/A,N/A,https://www.mobilehomeparkstore.com//mobile-home-parks/6955287-mobile-home-park-for-sale-in-englewood-co,3000000
30,24-Space Mobile Home Park,2990 South Lipan Street,Englewood,CO,80110,(303)407-9784,https://www.mobilehomeparkstore.com,24,N/A,N/A,N/A,N/A,N/A,https://www.mobilehomeparkstore.com//mobile-home-parks/6955286-24-space-mobile-home-park-for-sale-in-englewood-co,3750000
31,Aspen Homes Mobile Home Community,875 Monument Street,Calhan,CO,80808,(719)257-3949,https://www.mobilehomeparkstore.com,22,N/A,N/A,N/A,N/A,N/A,https://www.mobilehomeparkstore.com//mobile-home-parks/6696247-aspen-homes-mobile-home-community-for-sale-in-calhan-co,1400000
32,"8 Lot MHP with Seller Financing in Manzanola, CO",115 South Park Street,Manzanola,CO,81058,(719)650-3884,https://www.mobilehomeparkstore.com,8,428,N/A,N/A,N/A,N/A,https://www.mobilehomeparkstore.com//mobile-home-parks/6832388-8-lot-mhp-with-seller-financing-in-manzanola-co-for-sale-in-manzanola-co,269900
33,"Rare Investment Opportunity- 12 lot Mobile Home Park in Aurora, Colorado",1434 Idalia Court,Aurora,CO,80011,(719)650-3884,https://www.mobilehomeparkstore.com,12,"1,150",N/A,N/A,N/A,N/A,https://www.mobilehomeparkstore.com//mobile-home-parks/6830834-rare-investment-opportunity-12-lot-mobile-home-park-in-aurora-colorado-for-sale-in-aurora-co,1950000
34,Sterling CO - 23 space MHP  7% cap rate,516 Kochia Way,Sterling,CO,80751,(208)724-7443,https://www.mobilehomeparkstore.com,23,475,N/A,N/A,N/A,N/A,https://www.mobilehomeparkstore.com//mobile-home-parks/3884342-sterling-co-23-space-mhp-7-cap-rate-for-sale-in-sterling-co,1300000
35,Camp Margaritaville Auburndale Resort & Cabana Cabins,361 Denton Avenue,Auburndale,FL,33823,(561)479-1588,https://www.mobilehomeparkstore.com,N/A,N/A,N/A,"Laundromat
Pool
Club House
Storage
Handicap Accessible",N/A,N/A,https://www.mobilehomeparkstore.com//mobile-home-parks/6957317-camp-margaritaville-auburndale-resort-cabana-cabins-for-sale-in-auburndale-fl,86000000
36,"3,500 Pad Manufactured Home Community - Selling 4% Equity ",N/A,Southport,FL,32409,(561)702-0880,https://www.mobilehomeparkstore.com,3500,600,N/A,"Pool
Club House
Storage
Handicap Accessible",N/A,N/A,https://www.mobilehomeparkstore.com//mobile-home-parks/6677277-3-500-pad-manufactured-home-community-selling-4-equity-for-sale-in-southport-fl,600000
37,Callaway Mobile Home Park,208 North Highway 22 A,Panama City,FL,32404,(404)626-7052,https://www.mobilehomeparkstore.com,41,650,N/A,N/A,N/A,N/A,https://www.mobilehomeparkstore.com//mobile-home-parks/6952682-callaway-mobile-home-park-for-sale-in-panama-city-fl,3100000
38,Turnkey Mobile Home Investment Portfolio – $1.95M – Strong Cash Flow & Expansion Potential,N/A,Tallahassee,FL,N/A,(850)666-0324,https://www.mobilehomeparkstore.com,N/A,N/A,N/A,N/A,N/A,N/A,https://www.mobilehomeparkstore.com//mobile-home-parks/6926912-turnkey-mobile-home-investment-portfolio-1-95m-strong-cash-flow-expansion-potential-for-sale-in-tallahassee-fl,1950000
39,Lake Weir Pines Mobile Home Park,14455 East Highway 25,Ocklawaha,FL,32179,(303)912-3056,https://www.mobilehomeparkstore.com,N/A,N/A,N/A,Handicap Accessible,N/A,N/A,https://www.mobilehomeparkstore.com//mobile-home-parks/6924858-lake-weir-pines-mobile-home-park-for-sale-in-ocklawaha-fl,2999999
40,Calusa Cove,4700 San Michel Drive,Fort Myers,FL,33908,(239)848-2050,https://www.mobilehomeparkstore.com,110,N/A,N/A,N/A,N/A,N/A,https://www.mobilehomeparkstore.com//mobile-home-parks/6907394-calusa-cove-for-sale-in-fort-myers-fl,8699500
41,Cycle Drive Mobile Home Park ,2700 Cycle Drive,Pensacola,FL,32526,(850)610-1555,https://www.mobilehomeparkstore.com,26,400,N/A,N/A,N/A,N/A,https://www.mobilehomeparkstore.com//mobile-home-parks/6907392-cycle-drive-mobile-home-park-for-sale-in-pensacola-fl,1250000
42,Mobile Home Park Dev. Site 386 Units ,6725 South Rainbow Point,Homosassa,FL,34446,(813)370-0953,https://www.mobilehomeparkstore.com,386,N/A,N/A,N/A,N/A,N/A,https://www.mobilehomeparkstore.com//mobile-home-parks/6903663-mobile-home-park-dev-site-386-units-for-sale-in-homosassa-fl,800000
43,"2 Park Portfolio Tampa, FL",6700 North Rome Avenue,Tampa,FL,33604,(423)483-0492,https://www.mobilehomeparkstore.com,125,894,N/A,N/A,N/A,N/A,https://www.mobilehomeparkstore.com//mobile-home-parks/6892278-2-park-portfolio-tampa-fl-for-sale-in-tampa-fl,16500000
44,A Touch of Mink MHP,22127 U.S. 441,High Springs,FL,32643,(352)660-5606,https://www.mobilehomeparkstore.com,16,700,N/A,N/A,N/A,N/A,https://www.mobilehomeparkstore.com//mobile-home-parks/6845497-a-touch-of-mink-mhp-for-sale-in-high-springs-fl,840000
45,Lake Istokpoga Dream,44 Crawford Drive,Lake Placid,FL,33852,(954)552-2512,https://www.mobilehomeparkstore.com,17,"1,500",N/A,N/A,N/A,N/A,https://www.mobilehomeparkstore.com//mobile-home-parks/6836933-lake-istokpoga-dream-for-sale-in-lake-placid-fl,2490000
46,Oakwoods MHC,290 Ada Court,Tallahassee,FL,32305,(423)483-0492,https://www.mobilehomeparkstore.com,73,431,N/A,N/A,N/A,N/A,https://www.mobilehomeparkstore.com//mobile-home-parks/6835204-oakwoods-mhc-for-sale-in-tallahassee-fl,2500000
47,Suzy Q Lane,Suzy Q Lane,Crestview,FL,32539,(850)243-8477,https://www.mobilehomeparkstore.com,N/A,N/A,N/A,N/A,N/A,N/A,https://www.mobilehomeparkstore.com//mobile-home-parks/6833903-suzy-q-lane-for-sale-in-crestview-fl,1200000
48,Melbourne 55+ MHP,900 East Strawbridge Avenue,Melbourne,FL,32901,(423)483-0492,https://www.mobilehomeparkstore.com,37,581,N/A,N/A,N/A,N/A,https://www.mobilehomeparkstore.com//mobile-home-parks/6827885-melbourne-55-mhp-for-sale-in-melbourne-fl,4500000
49,"Summerfield, FL MHP DEVELOPMENT PORTFOLIO",11987 S Us Hwy 301,Belleview,FL,33420,(217)202-0924,https://www.mobilehomeparkstore.com,80,N/A,N/A,"Pool
Club House",N/A,N/A,https://www.mobilehomeparkstore.com//mobile-home-parks/6821742-summerfield-fl-mhp-development-portfolio-for-sale-in-belleview-fl,2850000
50,"Ruby Lane Mobile Home Park - Bonifay, FL",2344 Ruby Lane,Bonifay,FL,32425,(844)328-5905,https://www.mobilehomeparkstore.com,5,N/A,N/A,N/A,N/A,N/A,https://www.mobilehomeparkstore.com//mobile-home-parks/6800783-ruby-lane-mobile-home-park-bonifay-fl-for-sale-in-bonifay-fl,200000
51,5 UNIT MOBILE HOME PARK,3431 Southeast 38th Avenue,Okeechobee,FL,34974,(863)801-2101,https://www.mobilehomeparkstore.com,5,"1,100",N/A,N/A,N/A,N/A,https://www.mobilehomeparkstore.com//mobile-home-parks/6466128-5-unit-mobile-home-park-for-sale-in-okeechobee-fl,525000
52,Edgewater Mobile Home Park,1586 Southeast Country Club Road,Lake City,FL,32025,(813)546-8778,https://www.mobilehomeparkstore.com,58,900,N/A,N/A,N/A,N/A,https://www.mobilehomeparkstore.com//mobile-home-parks/5880487-edgewater-mobile-home-park-for-sale-in-lake-city-fl,2350000
53,River Bluff Resort,14725 Northwest 1st Parkway,Okeechobee,FL,34972,(305)345-3738,https://www.mobilehomeparkstore.com,14,N/A,N/A,N/A,N/A,N/A,https://www.mobilehomeparkstore.com//mobile-home-parks/5219009-river-bluff-resort-for-sale-in-okeechobee-fl,1649900
54,3 Homes 45 min North of Panama City Beach,N/A,Wausau,FL,N/A,(850)740-9506,https://www.mobilehomeparkstore.com,3,N/A,N/A,N/A,N/A,N/A,https://www.mobilehomeparkstore.com//mobile-home-parks/6935795-3-homes-45-min-north-of-panama-city-beach-for-sale-in-wausau-fl,165000
